id_tps	name	sex	set	nat	age	weight	height	attractiveness	fem_masc	L	a	b 	R1	L1	R2	L2	R3	L3	laterality
11	ID23_1_M_CMR13_DSC_0030.jpg	M	CMR13	CMR	24	58.9	165	3.333333333	6.246753247	25.519	13.731	9.084	250.2	198.3	197.6	203.9	196.9	187.2	R
12	ID24_2_M_CMR13_DSC_0027.jpg	M	CMR13	CMR	22	61.7	166.5	3.321428571	5.831168831	25.138	15.245	10.336	325.7	323.9	375.3	243.6	355.7	322.3	R
101F]	101F	F	CMR16	CMR	27	50.7	157	3.918367347	5.765957447	43.36966667	16.025	17.57866667	234.9141	252.5894	257.5097	292.6331	254.1537	275.399	R
102F]	102F	F	CMR16	CMR	24	69.3	152.5	2.87755102	4.553191489	37.22	12.70833333	12.58766667	229.7665	190.8459	223.9505	169.3734	214.1101	181.9013	R
103F]	103F	F	CMR16	CMR	23	66.7	156	1.897959184	3.393617021	33.793	10.63866667	8.563333333	194.4292	218.5757	196.8893	209.1898	181.2194	216.1156	R
104F]	104F	F	CMR16	CMR	18	65.1	156.5	2.265306122	3.765957447	37.58133333	13.48133333	12.59433333	197.1032	276.5221	163.1028	256.6139	155.2813	272.043	R
105F]	105F	F	CMR16	CMR	23	61	157	2.693877551	3.425531915	38.98466667	14.38133333	13.08833333	303.8106	259.9698	270.706	277.6452	281.8835	254.8223	R
106F]	106F	F	CMR16	CMR	20	54	158	2.93877551	4.35106383	36.44633333	12.087	10.45666667	220.3673	240.0616	229.098	185.4711	205.1654	178.7593	R
113F]	113F	F	CMR16	CMR	20	61.9	162	4.142857143	4.904255319	35.81766667	11.35833333	9.960666667	268.2459	151.0295	290.3869	149.4652	265.5585	159.5196	R
114F]	114F	F	CMR16	CMR	24	59.2	156	3.836734694	5.053191489	39.715	12.41866667	12.626	111.2132	130.6668	123.7276	108.2985	129.3297	76.9855	R
115F]	115F	F	CMR16	CMR	19	56.9	163.5	4.12244898	5.372340426	36.447	12.45966667	11.82833333	184.5753	199.7906	157.2868	225.9694	188.3858	231.5581	R
116F]	116F	F	CMR16	CMR	21	59.7	164	2.204081633	3.79787234	33.98433333	9.462666667	6.280666667	165.7902	134.25	183.6795	152.5939	174.9622	118.8074	R
117F]	117F	F	CMR16	CMR	20	57.6	166	2.673469388	3.765957447	32.64366667	9.455666667	7.37	238.7112	306.498	297.0988	219.0303	271.6018	250.5705	R
118F]	118F	F	CMR16	CMR	19	69.6	157	3.265306122	4.946808511	35.983	10.281	7.354333333	302.019	281.6696	296.8715	270.9333	307.6211	257.0551	R
125F]	125F	F	CMR16	CMR	21	63.1	152.5	3.510204082	4.840425532	43.94866667	13.40933333	13.886	205.3793	219.6988	180.7782	168.4776	221.7177	158.1826	R
126F]	126F	F	CMR16	CMR	21	81.1	157	2.612244898	3.904255319	35.04366667	8.349333333	4.606	251.4663	161.5385	213.8828	153.7036	231.9994	135.587	R
127F]	127F	F	CMR16	CMR	21	66.4	156.5	2.959183673	4.223404255	38.43833333	11.303	9.533333333	261.5341	242.9629	243.4175	180.5509	231.3308	208.9625	R
